date,trail_key,trail_id,label,color,username,trusted,comment
2026-03-21,phase1,0,1,yellow,seth-k,False,"Mostly Dry, Some Mud: Mostly dry with some muddy spots. Several areas with leaves hiding the edge of the trail. Overall it’s in pretty good shape."
2026-03-15,phase1,0,1,yellow,dan-mills,False,"Mostly Dry: 99% dry. Lots of small sticks on the trail, and 4 or 5 trees."
2026-03-11,phase1,0,0,red,jeff-wallace,False,Muddy - Muddy let's hope the winds on Thursday and Friday dry it up for the weekend.
2026-03-10,phase1,0,1,yellow,bill-s,False,"Fallen Trees - Rode today P1 & P0, both were in great shape, only a couple very small wet spots.    2 large trees down need saws"
2026-03-08,phase1,0,0,red,jeff-wallace,False,Muddy
2026-02-11,phase1,0,0,red,timothy-ross,True,Muddy
2026-01-16,phase1,0,2,green,darren-z,False,Snowy - Trail surface is frozen solid with a light coating of snow.
2025-12-13,phase1,0,1,yellow,darren-z,False,Snowy - Very slick.
2025-12-05,phase1,0,1,yellow,darren-z,False,"Snowy, Icy, Fallen Trees - Very slick throughout; large tree across the trail about 1/4 mile in clockwise."
2025-11-28,phase1,0,1,yellow,darren-z,False,"Dry, Fallen Trees - Tree down about 1/4 mile in clockwise, and the long overland bridge has several feet of planks missing."
2025-11-23,phase1,0,1,yellow,eric-norris,False,Mostly Dry
2025-11-21,phase1,0,1,yellow,michael-payne,False,"Mostly Dry: Wet leaves, lots of them. Only two slightly muddy spots."
2025-11-21,phase1,0,2,green,darren-z,False,Mostly Dry - The trail is in surprisingly great condition despite the recent rain.
2025-11-02,phase1,0,2,green,m-h,False,Mostly Dry
2025-11-02,phase1,0,2,green,wes-keyes,False,Dry
2025-11-01,phase1,0,2,green,m-h,False,Mostly Dry
2025-10-31,phase1,0,1,yellow,darren-z,False,"Some Mud, Fallen Trees - Damp and slick throughout; at least one section with very soft mud; large tree across the trail about a half mile in counterclockwise."
2025-10-24,phase1,0,2,green,darren-z,False,Dry
2025-10-16,phase1,0,2,green,gus-anaya,False,Dry
2025-10-11,phase1,0,2,green,m-h,False,Dry
2025-10-10,phase1,0,2,green,darren-z,False,"Dry - Perfect weather, perfect trail conditions!"
2025-10-07,phase1,0,0,red,combo-trails,True,Muddy
2025-10-03,phase1,0,2,green,darren-z,False,Dry - Go ride your bike!
2025-09-26,phase1,0,1,yellow,darren-z,False,"Dry, Fallen Trees - Large fallen tree across the trail about two-miles in counterclockwise."
2025-09-24,phase1,0,1,yellow,anonymous,False,Some Mud
2025-09-23,phase1,0,1,yellow,timothy-ross,True,Mostly Dry
2025-09-13,phase1,0,2,green,m-h,False,Dry
2025-09-07,phase1,0,2,green,andy-thatcher,False,Dry
2025-09-05,phase1,0,2,green,darren-z,False,"Dry - Perfect weather, perfect trail conditions."
2025-08-30,phase1,0,2,green,michelle-elle,False,Dry
2025-08-29,phase1,0,2,green,darren-z,False,Dry - Bone dry with just enough humidity in the air to keep the dust down. Trail conditions don't get much better.
2025-08-23,phase1,0,2,green,henry-nerida,False,Dry
2025-08-22,phase1,0,2,green,g-thomas,False,"Aug 22, 2025"
2025-08-20,phase1,0,1,yellow,seth-k,False,Mostly Dry: Trail is greasy but firm underneath. Tree across the trail ~1.75 miles in (anti-clockwise).
2025-08-18,phase1,0,1,yellow,bill-s,False,"Fallen Trees: Trail was great today, but there is a tree down in a bad spot in the last section between rd and parking lot.    needs saw"
2025-08-15,phase1,0,2,green,darren-z,False,"Aug 15, 2025"
2025-08-09,phase1,0,2,green,darren-z,False,"Mostly Dry - A couple of sticky mud holes.  Otherwise, perfect conditions."
2025-08-05,phase1,0,2,green,seth-k,False,"Some Mud: A couple mud holes in the usual spots, but otherwise dry and dusty!"
2025-08-01,phase1,0,1,yellow,darren-z,False,"Some Mud, Fallen Trees - Numerous mud puddles with standing water, but otherwise dry. Large fallen tree across the trail about one mile in counterclockwise."
2025-07-26,phase1,0,1,yellow,seth-k,False,"Mostly Dry, Some Mud: Definitely rideable. Raindrop app says .32” of rain, not 1.25”"
2025-07-25,phase1,0,0,red,daniel-touzinsky,False,"Muddy - 1.25"" of rain"
2025-07-25,phase1,0,2,green,darren-z,False,"Mostly Dry - A couple of mud puddles.  Otherwise, hero dirt!"
2025-07-23,phase1,0,2,green,seth-k,False,"Mostly Dry, Some Mud: Normal muddy spots before and after the main water crossing. Great conditions everywhere else!"
2025-07-19,phase1,0,1,yellow,seth-k,False,"Muddy, Mostly Dry, Some Mud: The low area 1/2 mile before the big water crossing is worse than usual. A few
other muddy spots, but definitely rideable."
2025-07-18,phase1,0,0,red,kyle-reichenbach,False,Muddy
2025-07-15,phase1,0,2,green,combo-trails,True,Some Mud
2025-07-15,phase1,0,1,yellow,ryan-hughes,True,Some Mud
2025-07-13,phase1,0,0,red,mike-hanley,False,Muddy
2025-07-12,phase1,0,0,red,ben-puterbaugh,False,"1"" of rain 7/12"
2025-07-11,phase1,0,2,green,darren-z,False,Some Mud - Dry except for a few mud puddles.
2025-07-08,phase1,0,2,green,cam-spaulding,False,Mostly Dry
2025-07-06,phase1,0,1,yellow,andy-thatcher,False,"Some Mud: Really good, aside from just 3 or 4 spots."
2025-07-05,phase1,0,0,red,timothy-ross,True,Muddy
2025-07-04,phase1,0,2,green,darren-z,False,"Some Mud - Best riding conditions in weeks.  A few sloppy, sticky mud puddles, but otherwise dry.  Happy Independence Day!"
2025-07-04,phase1,0,1,yellow,terry-hughes,False,Mostly Dry
2025-07-04,phase1,0,0,red,d-strong,False,"Muddy: Lots of standing water and slick mud, give another day or two to dry out"
2025-06-28,phase1,0,0,red,darren-z,False,"Muddy - Trail is wet and slippery with numerous puddles.  I got about two-miles in counterclockwise when a thunderstorm rolled in, so I turned around and hustled back to the parking lot.  I have no idea what the rest of the trail is like, but if the clouds open up, it's going to be a mess."
2025-06-28,phase1,0,1,yellow,matt-f,False,Some Mud: There was a tree down Tuesday on the long evac route that leads from Lewis Center Rd to P1.1C about halfway to the creek.
2025-06-28,phase1,0,1,yellow,daniel-touzinsky,False,Some Mud - One tree down around 3 miles on the bridge section. Some puddles but easy enough to ride straight through.
2025-06-21,phase1,0,1,yellow,darren-z,False,"Some Mud, Fallen Trees - Several deep puddles and a few long stretches of soft mud.  Large tree across the trail about 1.5 miles in counterclockwise, a smaller one at 2 miles, a fallen tree at head height at around 2.5 miles, another at head height around 3.5 miles, and a medium tree on the ground at around 4 miles.  I would rate today's riding conditions as ""sketchy""."
2025-06-20,phase1,0,0,red,terry-hughes,False,"Muddy, Fallen Trees: Give it another day to dry out"
2025-06-19,phase1,0,0,red,ben-puterbaugh,False,Muddy
2025-06-17,phase1,0,0,red,combo-trails,True,Muddy
2025-06-15,phase1,0,1,yellow,tim-k,False,"Mostly Dry, Some Mud - Some Mud - ~80% dry, ~15% wet, ~5% mud. 

I rode straight through the puddles and so should you."
2025-06-13,phase1,0,1,yellow,darren-z,False,"Some Mud - Around a dozen sloppy muddy bits throughout, but otherwise dry.  It was starting to rain when I finished my ride, so conditions may have changed since I was there."
2025-06-13,phase1,0,0,red,daniel-touzinsky,False,Muddy. Tree down around mile 2
2025-06-12,phase1,0,1,yellow,g-thomas,False,Some Mud - Mostly dry but several muddy spots. Should continue to dry out throughout day.
2025-06-11,phase1,0,1,yellow,timothy-ross,True,"Jun 11, 2025"
2025-06-08,phase1,0,0,red,ben-puterbaugh,False,"Muddy - .33"" rain last night"
2025-06-06,phase1,0,1,yellow,andy-keyes,False,Muddy - very slick. roots are slippery. rideable bit would benefit from a few days of drying.
2025-06-06,phase1,0,0,red,combo-trails,True,Muddy
2025-06-04,phase1,0,2,green,darren-z,False,"Some Mud - Literally a couple of puddles.  Otherwise, it's bone dry."
2025-06-04,phase1,0,1,yellow,ben-puterbaugh,False,"Jun 4, 2025"
2025-05-29,phase1,0,0,red,david-tidd,False,Muddy - Still needs time dry!
2026-06-19,phase2,1,1,yellow,seth-k,False,"Mostly Dry, Some Mud: Rode P2 at 8:30am on 6/19. It was in really good shape. A few mud puddles; just ride through (NOT AROUND) them."
2026-06-17,phase2,1,0,red,ben-puterbaugh,False,Wet
2026-06-15,phase2,1,2,green,rick-s,False,"Mostly Dry: A few puddles, but nothing mushy"
2026-06-12,phase2,1,2,green,joe-dietrich,False,"Jun 12, 2026"
2026-06-09,phase2,1,1,yellow,ryan-hughes,True,"Jun 9, 2026"
2026-06-06,phase2,1,0,red,ben-puterbaugh,False,Wet
2026-05-31,phase2,1,2,green,rick-s,False,"Mostly Dry: Other than the creek crossing, almost perfect"
2026-05-31,phase2,1,2,green,andy-keyes,False,"Mostly Dry: Couple of mud spots, not including creek crossing."
2026-05-30,phase2,1,1,yellow,timothy-ross,True,Some Mud
2026-05-29,phase2,1,0,red,combo-trails,True,Muddy
2026-05-29,phase2,1,0,red,timothy-ross,True,Muddy
2026-05-29,phase2,1,1,yellow,darren-z,False,"Mostly Dry, Some Mud - Numerous shallow mud patches, except the creek crossing which is deep sticky mud all the way across."
2026-05-22,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud, Fallen Trees"
2026-05-19,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" rain 5/19/26 pm
More rain coming"
2026-05-16,phase2,1,1,yellow,darren-z,False,"Some Mud - Trail surface is damp but firm with slick roots and corners.  It's very close to the saturation point, though, so it could become unrideable very quickly if it continues raining."
2026-05-15,phase2,1,2,green,henry-nerida,False,Dry
2026-05-14,phase2,1,2,green,chris-rosemark,False,"May 14, 2026"
2026-05-11,phase2,1,1,yellow,timothy-ross,True,Mostly Dry
2026-05-09,phase2,1,1,yellow,juan-sanchez-ramirez,False,Muddy - the low spots are muddy.  the semi- low spots are muddy.  it's the very edge of rideable
2026-05-08,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - Not good"
2026-05-07,phase2,1,1,yellow,terry-hughes,False,Some wet spots but rideable
2026-05-06,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" of rain 5/5/26 pm. Give it a few days"
2026-05-04,phase2,1,2,green,rick-s,False,Mostly Dry: 98% perfect. A couple puddles in the usual spots.
2026-05-03,phase2,1,1,yellow,russ-montgomery,False,Some Mud
2026-04-30,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - Lots of rain bro"
2026-04-28,phase2,1,1,yellow,anonymous,False,Muddy
2026-04-28,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 3/4"" rain 4/27 pm"
2026-04-25,phase2,1,1,yellow,timothy-ross,True,"Some Mud - Trees clear , Trail is about 90% should be better by this evening."
2026-04-25,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud, Fallen Trees - 1/4"" rain 4/24/26"
2026-04-24,phase2,1,1,yellow,ben-puterbaugh,False,"Some Mud, Fallen Trees - Impassable tree over steel bridge"
2026-04-23,phase2,1,0,red,ben-puterbaugh,False,"Muddy, Some Mud - 1"" of rain 4/22 6pm
Give it at least 36hrs"
2026-04-20,phase2,1,2,green,anonymous,False,"Apr 20, 2026"
2026-04-20,phase2,1,2,green,eric-norris,False,Dry: Maybe 1 mud puddle.
2026-04-17,phase2,1,2,green,g-hb,False,Dry
2026-04-16,phase2,1,2,green,chris-hicks,False,Dry: Trade this evening. A couple wet spots. 99% perfect.
2026-04-14,phase2,1,2,green,g-hb,False,Dry - Great condition!
2026-04-14,phase2,1,2,green,rick-s,False,Mostly Dry: There was no afternoon rain on the trail. Things are just about perfect
2026-04-12,phase2,1,2,green,henry-nerida,False,Dry
2026-04-09,phase2,1,2,green,henry-nerida,False,Dry: Only a few soft spots.
2026-04-08,phase2,1,1,yellow,dan-s,False,"Mostly Dry, Some Mud: Trail was in pretty great shape on Tuesday evening esp. with the freeze thaw. Expect good conditions this Weds afternoon."
2026-03-29,phase2,1,1,yellow,colton-huston,False,Some Mud - 97% dry. Another day or 2 and most of the mud will be gone minus the rock section at the beginning.
2026-03-25,phase2,1,1,yellow,rick-s,False,Some Mud: Trail is good other than a few puddles and the swamp at the beginning of the trail in the rock drop off landing zone
2026-03-23,phase2,1,0,red,aaron-dixon,False,"Some Mud: Heavy rain, give it a day to dry. Rain on 3/23."
2026-03-21,phase2,1,1,yellow,darren-z,False,"Mostly Dry, Some Mud - There are several patches of soft mud and layers of dry leaves."
2026-03-20,phase2,1,2,green,aaron-dixon,False,"Mar 20, 2026"
2026-03-15,phase2,1,1,yellow,anonymous,False,"Fallen Trees - Trees down before the 1st larger drop and after the landing area of the step up hip jump, neither can be hit. Large tree after the hip jump. Debris scattered throughout the trail, but the surface is riding really well before the rain tonight and very little mud."
2026-03-15,phase2,1,1,yellow,seth-k,False,Dry: Trail is dry. Three trees down across the trail. Get out and ride before the storms come Sunday night/Monday morning.
2026-03-11,phase2,1,0,red,jeff-wallace,False,"Muddy - Muddy, let's hope Thursday and Friday dry it up for the weekend!"
2026-03-09,phase2,1,1,yellow,matt-hartski,False,"Some Mud: 4-5 puddles in total, overall in good shape"
2026-02-26,phase2,1,0,red,tim-b,False,Muddy: Did not ride today but was on connector trail doing some geocaching. Trails are very muddy doubt. Do not ride!!
2026-02-11,phase2,1,0,red,timothy-ross,True,Muddy
2026-01-23,phase2,1,2,green,darren-z,False,"Dry, Icy - Cold!  The trail surface is frozen and dry with some isolated icy patches.  The creek crossing is frozen solid enough to support the weight of a bike and rider, but it's very slick."
2026-01-03,phase2,1,1,yellow,tim-b,False,Compacted snow with a few trees blocking trail (can pick bike over). Likely will be muddy with the warm up next week…
2025-12-25,phase2,1,1,yellow,m-h,False,Muddy
2025-12-04,phase2,1,1,yellow,tim-b,False,"Snowy, Icy: If you know the trail well you will be fine-consider riding on road last 1/4 mile (muddy)"
2025-11-29,phase2,1,2,green,darren-z,False,Some Mud
2025-11-23,phase2,1,1,yellow,eric-norris,False,"Mostly Dry: Trail is firm
 Minor wet spots"
2025-11-22,phase2,1,1,yellow,darren-z,False,Some Mud - Damp and slick.
2025-11-20,phase2,1,1,yellow,jon-parquette,False,Mostly Dry: Lots of leaves but pretty dry
2025-11-15,phase2,1,2,green,m-h,False,"Dry, Muddy"
2025-11-15,phase2,1,2,green,kara-labella,False,Dry
2025-11-08,phase2,1,2,green,m-h,False,Mostly Dry
2025-11-08,phase2,1,2,green,darren-z,False,Some Mud
2025-11-02,phase2,1,2,green,wes-keyes,False,Dry: Two small patches of mud
2025-11-01,phase2,1,2,green,darren-z,False,Mostly Dry
2025-10-25,phase2,1,2,green,darren-z,False,"Mostly Dry - There's standing water and mud at the creek crossing.  Otherwise, it's all clear."
2025-10-21,phase2,1,1,yellow,rick-s,False,Mostly Dry: Branch across the trail just after the 1 mile marker. Otherwise just a few puddles in the typical spots.
2025-10-17,phase2,1,2,green,darren-z,False,Dry - Great conditions!
2025-10-11,phase2,1,2,green,henry-nerida,False,Dry
2025-10-09,phase2,1,2,green,rick-s,False,Mostly Dry: Shredwalk and role model are good to ride as well!
2025-10-07,phase2,1,0,red,combo-trails,True,Muddy
2025-10-06,phase2,1,2,green,anonymous,False,"Oct 6, 2025"
2025-09-27,phase2,1,2,green,darren-z,False,"Dry - There's a couple of inches of water at the creek crossing.  Otherwise, perfect trail conditions."
2025-09-25,phase2,1,1,yellow,james-knott,False,P2 is good to go. Connector is pretty good but borderline in a few turns. Give the new stuff one more day to dry.
2025-09-24,phase2,1,0,red,combo-trails,True,Muddy - Including the connector
2025-09-21,phase2,1,2,green,james-young,False,Dry
2025-09-13,phase2,1,2,green,darren-z,False,Dry and dusty.
2025-09-06,phase2,1,2,green,darren-z,False,"Dry - Perfect weather, perfect trail conditions."
2025-09-04,phase2,1,2,green,irvin-abad,False,Dry
2025-08-30,phase2,1,2,green,kyle-reichenbach,False,Dry
2025-08-30,phase2,1,2,green,darren-z,False,Dry - Great riding conditions!
2025-08-23,phase2,1,2,green,henry-nerida,False,"Aug 23, 2025"
2025-08-22,phase2,1,2,green,darren-z,False,Dry - Perfect riding conditions!
2025-08-19,phase2,1,2,green,anonymous,False,Dry - Dry and riding great!
2025-08-17,phase2,1,2,green,g-thomas,False,"Aug 17, 2025"
2025-08-16,phase2,1,2,green,henry-nerida,False,Dry
2025-08-14,phase2,1,2,green,seth-k,False,Dry: Conditions are awesome despite the recent rain.
2025-08-12,phase2,1,2,green,g-thomas,False,"Aug 12, 2025"
2025-08-10,phase2,1,2,green,irvin-abad,False,All dry
2025-08-08,phase2,1,2,green,darren-z,False,Dry - Best trail conditions in weeks. Dry and dusty.  Go ride your bike!
2025-08-05,phase2,1,2,green,rick-s,False,Dry
2025-08-03,phase2,1,2,green,henry-nerida,False,The trail is in great shape! Come out and ride!
2025-08-01,phase2,1,1,yellow,ben-puterbaugh,False,Muddy - Same 6 puddles that need fixing
2025-07-30,phase2,1,1,yellow,dan-lagatta,False,Trails is in great shape. A few small muddy spots. Most can be avoided.
2025-07-30,phase2,1,1,yellow,roger-montoya,False,"Mostly Dry: Very Few wet spots, dry and compact for the most part."
2025-07-29,phase2,1,0,red,ben-puterbaugh,False,"1"" rain 7/28 8pm"
2025-07-26,phase2,1,1,yellow,timothy-ross,True,Mostly Dry
2026-06-28,phase1,0,0,red,combo-trails,True,20 hours ago: Muddy
2026-06-28,phase2,1,0,red,combo-trails,True,20 hours ago: Muddy
2026-06-27,phase2,1,0,red,combo-trails,True,1 day ago: Muddy
2026-06-29,phase1,0,0,red,timothy-ross,True,15 hours ago: Muddy
2026-07-02,phase1,0,2,green,timothy-ross,True,3 hours ago: Mostly Dry
2026-07-02,phase2,1,2,green,anonymous,False,"7 hours ago: Dry - Very dry for the most part, a few muddy spots, but they are small and will probably be dried out tomorrow. Riding fast and smooth!"
